City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,65.73,overcast clouds,-33.5906,26.891,The Halyards Hotel
1,Rikitea,PF,77.86,scattered clouds,-23.1203,-134.9692,People ThankYou
2,Puerto Ayora,EC,77.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
4,Bethel,US,40.5,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
5,Ribeira Grande,PT,57.27,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
6,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
7,Vaini,TO,81.61,moderate rain,-21.2,-175.2,Keleti Beach Resort
8,Avarua,CK,86.05,scattered clouds,-21.2078,-159.775,Paradise Inn
9,Mataura,NZ,50.65,overcast clouds,-46.1927,168.8643,Ellie's Villa
10,Mineros,BO,80.19,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
11,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Cayenne,GF,78.1,mist,4.9333,-52.3333,Hôtel Le Dronmi
15,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
16,Gat,IL,56.39,clear sky,31.61,34.7642,OlusHome
17,Bluefield,US,52.36,clear sky,37.2698,-81.2223,Economy Inn
18,Sola,VU,82.6,overcast clouds,-13.8833,167.55,Leumerus Bungalows
19,Saint-Francois,FR,44.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
22,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
24,Faanui,PF,80.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
25,Arraial Do Cabo,BR,75.16,light rain,-22.9661,-42.0278,Pousada Porto Praia
26,Kodiak,US,42.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
27,Hermanus,ZA,61.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Zabid,YE,73.36,broken clouds,14.1951,43.3152,مغرب التريبه
29,Punta Arenas,CL,59.11,scattered clouds,-53.15,-70.9167,Hotel Hain
30,Busselton,AU,79.77,clear sky,-33.65,115.3333,Observatory Guest House
31,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Westport,US,43.05,clear sky,41.1415,-73.3579,The Inn at Longshore
33,Yunyang,CN,40.55,overcast clouds,33.4474,112.7142,Post & Telecom Hotel
