City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,65.73,83,98,7.83,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,77.86,71,45,5.57,scattered clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,77.56,91,35,1.99,scattered clouds
3,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,100,5.75,overcast clouds
4,Bethel,US,41.3712,-73.414,40.5,67,0,0.0,clear sky
5,Ribeira Grande,PT,38.5167,-28.7,57.27,66,36,2.28,scattered clouds
6,Kahului,US,20.8947,-156.47,83.46,73,0,18.41,clear sky
7,Vaini,TO,-21.2,-175.2,81.61,79,77,19.62,moderate rain
8,Avarua,CK,-21.2078,-159.775,86.05,74,40,19.57,scattered clouds
9,Mataura,NZ,-46.1927,168.8643,50.65,98,100,6.87,overcast clouds
10,Mineros,BO,-17.1167,-63.2333,80.19,98,100,3.0,overcast clouds
11,Saint-Philippe,RE,-21.3585,55.7679,78.39,91,100,25.34,light rain
12,Cayenne,GF,4.9333,-52.3333,78.1,89,75,8.05,mist
13,Haines Junction,CA,60.7522,-137.5108,6.75,51,100,0.0,overcast clouds
14,Yar-Sale,RU,66.8333,70.8333,17.11,97,100,8.05,overcast clouds
15,Alice Springs,AU,-23.7,133.8833,80.15,34,0,11.5,clear sky
16,Gat,IL,31.61,34.7642,56.39,100,7,1.5,clear sky
17,Bluefield,US,37.2698,-81.2223,52.36,58,0,8.05,clear sky
18,Sola,VU,-13.8833,167.55,82.6,75,87,11.97,overcast clouds
19,Saint-Francois,FR,46.4154,3.9054,44.67,78,0,11.5,clear sky
20,Torbay,CA,47.6666,-52.7314,35.76,85,75,26.46,light snow
21,Tasiilaq,GL,65.6145,-37.6368,26.76,78,100,40.09,snow
22,Cape Town,ZA,-33.9258,18.4232,64.11,83,0,9.22,clear sky
23,Thompson,CA,55.7435,-97.8558,-16.44,63,0,3.44,clear sky
24,Faanui,PF,-16.4833,-151.75,80.94,76,100,16.73,light rain
25,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,100,75,4.61,light rain
26,Kodiak,US,57.79,-152.4072,42.31,81,100,10.36,overcast clouds
27,Hermanus,ZA,-34.4187,19.2345,61.9,82,7,3.36,clear sky
28,Zabid,YE,14.1951,43.3152,73.36,79,74,2.15,broken clouds
29,Punta Arenas,CL,-53.15,-70.9167,59.11,55,40,4.61,scattered clouds
30,Busselton,AU,-33.65,115.3333,79.77,44,0,6.58,clear sky
31,Kapaa,US,22.0752,-159.319,80.58,64,0,14.97,clear sky
32,Westport,US,41.1415,-73.3579,43.05,77,0,1.99,clear sky
33,Yunyang,CN,33.4474,112.7142,40.55,32,100,10.71,overcast clouds
34,Norman Wells,CA,65.282,-126.8329,-16.56,63,20,6.91,few clouds
35,Atuona,PF,-9.8,-139.0333,78.57,74,3,16.82,clear sky
36,Flin Flon,CA,54.7682,-101.865,-20.42,98,89,4.09,overcast clouds
37,Jamestown,US,42.097,-79.2353,49.64,43,100,5.75,overcast clouds
38,Demyansk,RU,57.643,32.466,33.62,99,100,5.95,overcast clouds
39,Albany,US,42.6001,-73.9662,39.72,69,46,1.1,scattered clouds
