City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kiama,AU,2022-02-08 20:43:39,-34.6833,150.8667,64.26,90,1,4.07
1,Vestmannaeyjar,IS,2022-02-08 20:43:40,63.4427,-20.2734,35.1,80,100,15.66
2,Rikitea,PF,2022-02-08 20:43:40,-23.1203,-134.9692,78.78,72,69,11.36
3,Mataura,NZ,2022-02-08 20:43:40,-46.1927,168.8643,56.48,87,100,3.96
4,Geraldton,AU,2022-02-08 20:43:41,-28.7667,114.6,63.01,82,0,11.5
5,Novyy Urgal,RU,2022-02-08 20:43:41,51.0736,132.5642,-23.46,100,100,0.87
6,Kapaa,US,2022-02-08 20:43:41,22.0752,-159.319,78.12,66,0,12.66
7,Cidreira,BR,2022-02-08 20:43:42,-30.1811,-50.2056,74.01,65,60,13.2
8,Alyangula,AU,2022-02-08 20:43:42,-13.8483,136.4192,71.47,100,100,0.0
9,Mahebourg,MU,2022-02-08 20:43:42,-20.4081,57.7,75.49,88,40,3.44
10,Khatanga,RU,2022-02-08 20:43:43,71.9667,102.5,4.62,80,100,17.81
11,Aswan,EG,2022-02-08 20:43:43,24.0934,32.907,66.36,21,0,9.6
12,Busselton,AU,2022-02-08 20:43:44,-33.65,115.3333,54.09,84,1,6.8
13,Chuy,UY,2022-02-08 20:43:44,-33.6971,-53.4616,70.99,58,14,10.31
14,Ushuaia,AR,2022-02-08 20:43:44,-54.8,-68.3,58.62,62,75,23.02
15,Singkawang,ID,2022-02-08 20:43:45,0.9,109.0,74.21,94,86,2.66
16,Jutai,BR,2022-02-08 20:43:45,-5.1833,-68.9,74.64,97,99,2.84
17,Kushiro,JP,2022-02-08 20:43:46,42.975,144.3747,17.1,87,80,3.38
18,Cape Town,ZA,2022-02-08 20:43:04,-33.9258,18.4232,68.09,74,0,10.36
19,Clyde River,CA,2022-02-08 20:43:46,70.4692,-68.5914,-25.37,62,40,2.3
20,Vaini,TO,2022-02-08 20:43:46,-21.2,-175.2,78.96,94,40,9.22
21,Bull Savanna,JM,2022-02-08 20:43:47,17.8868,-77.5902,78.48,67,26,9.57
22,Vangaindrano,MG,2022-02-08 20:43:47,-23.35,47.6,76.41,95,100,11.27
23,Saint George,US,2022-02-08 20:43:48,37.1041,-113.5841,68.47,21,7,1.99
24,Aklavik,CA,2022-02-08 20:43:48,68.2191,-135.0107,-33.77,67,40,0.0
25,Nouadhibou,MR,2022-02-08 20:43:48,20.931,-17.0347,69.78,78,97,9.22
26,Tasiilaq,GL,2022-02-08 20:43:49,65.6145,-37.6368,19.56,79,100,7.47
27,Dingle,PH,2022-02-08 20:39:34,10.9995,122.6711,74.07,89,88,10.18
28,Isangel,VU,2022-02-08 20:43:49,-19.55,169.2667,79.72,90,100,22.53
29,Albany,US,2022-02-08 20:40:00,42.6001,-73.9662,37.02,65,60,1.01
30,Enid,US,2022-02-08 20:43:50,36.3956,-97.8784,68.16,23,0,10.0
31,Parabel,RU,2022-02-08 20:43:50,58.6978,81.4825,-21.37,100,24,4.09
32,Atuona,PF,2022-02-08 20:43:50,-9.8,-139.0333,78.42,78,20,16.78
33,Cherskiy,RU,2022-02-08 20:43:51,68.75,161.3,-42.3,100,85,4.38
34,Camana,PE,2022-02-08 20:43:51,-16.6228,-72.7111,73.54,73,72,7.76
35,Airai,TL,2022-02-08 20:43:51,-8.9266,125.4092,60.87,95,100,1.36
36,Garavuti,TJ,2022-02-08 20:43:52,37.5672,68.4469,43.45,82,63,3.09
37,Santa Fe,AR,2022-02-08 20:39:13,-31.6333,-60.7,88.02,30,0,8.01
38,Road Town,VG,2022-02-08 20:42:21,18.4167,-64.6167,80.69,61,20,11.5
39,Hami,CN,2022-02-08 20:43:53,42.8,93.45,24.35,41,0,4.45
40,Salalah,OM,2022-02-08 20:43:53,17.0151,54.0924,73.49,16,0,16.11
41,Mahina,PF,2022-02-08 20:41:09,-17.5065,-149.489,85.77,70,75,3.44
42,Narsaq,GL,2022-02-08 20:44:53,60.9167,-46.05,1.62,72,16,4.88
43,Manakara,MG,2022-02-08 20:44:54,-22.1333,48.0167,78.08,93,100,11.61
44,Hilo,US,2022-02-08 20:44:54,19.7297,-155.09,74.93,73,40,5.99
45,Harper,LR,2022-02-08 20:44:55,4.375,-7.7169,79.09,85,3,8.37
46,Matagami,CA,2022-02-08 20:44:55,49.7502,-77.6328,23.11,86,100,0.0
47,San Patricio,US,2022-02-08 20:44:55,28.017,-97.5169,70.21,27,0,1.9
48,Watrous,CA,2022-02-08 20:44:56,51.6668,-105.4679,33.58,75,100,17.27
49,Comodoro Rivadavia,AR,2022-02-08 20:40:59,-45.8667,-67.5,71.46,21,0,17.27
50,Kirakira,SB,2022-02-08 20:44:56,-10.4544,161.9205,81.46,81,100,10.36
51,Saint-Pierre,RE,2022-02-08 20:44:56,-21.3393,55.4781,76.68,78,75,0.0
52,Punta Arenas,CL,2022-02-08 20:41:19,-53.15,-70.9167,59.11,38,40,23.02
53,Kedrovyy,RU,2022-02-08 20:44:57,56.1667,91.8167,-15.14,99,81,4.14
54,Avarua,CK,2022-02-08 20:44:57,-21.2078,-159.775,82.45,78,40,9.22
55,Tuatapere,NZ,2022-02-08 20:44:58,-46.1333,167.6833,56.82,80,92,3.42
56,Klaksvik,FO,2022-02-08 20:44:58,62.2266,-6.589,36.52,71,99,40.6
57,Bredasdorp,ZA,2022-02-08 20:44:58,-34.5322,20.0403,67.32,77,26,8.05
58,Juxtlahuaca,MX,2022-02-08 20:44:59,17.4294,-99.1467,80.28,37,20,8.7
59,Sao Filipe,CV,2022-02-08 20:44:59,14.8961,-24.4956,72.59,74,2,3.98
60,Kavieng,PG,2022-02-08 20:44:59,-2.5744,150.7967,81.43,80,100,7.81
61,Saint-Louis,SN,2022-02-08 20:45:00,16.3333,-15.0,81.5,10,0,9.84
62,Chicama,PE,2022-02-08 20:45:00,-7.8447,-79.1469,72.14,57,62,10.83
63,Touros,BR,2022-02-08 20:45:01,-5.1989,-35.4608,86.9,68,5,16.42
64,Bjornevatn,NO,2022-02-08 20:45:01,69.6672,29.9847,26.22,86,75,13.8
65,Husavik,IS,2022-02-08 20:45:01,66.0449,-17.3389,28.31,95,100,22.77
66,Ust-Nera,RU,2022-02-08 20:45:02,64.5667,143.2,-30.23,92,24,3.29
67,Saint-Philippe,RE,2022-02-08 20:45:02,-21.3585,55.7679,76.59,84,71,9.26
68,Kutum,SD,2022-02-08 20:45:03,14.2,24.6667,59.16,15,1,7.18
69,Naryan-Mar,RU,2022-02-08 20:45:03,67.6713,53.087,8.01,93,98,15.03
